cve_id,description,cvss_score,severity,published_date,cwe_ids,cleaned_description,extracted_entities,tokens,token_count,sentences,sentence_count
CVE-1999-0168,"The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.  For example, NFS file systems could be mounted through the portmapper despite export restrictions.",7.5,HIGH,1992-06-04T04:00:00.000,Unknown,"The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place. For example, NFS file systems could be mounted through the portmapper despite export restrictions.",{},"['the', 'portmapper', 'may', 'act', 'as', 'proxy', 'and', 'redirect', 'service', 'requests', 'from', 'an', 'attacker', 'making', 'the', 'request', 'appear', 'to', 'come', 'from', 'the', 'local', 'host', 'possibly', 'bypassing', 'authentication', 'that', 'would', 'otherwise', 'have', 'taken', 'place', 'for', 'example', 'nfs', 'file', 'systems', 'could', 'be', 'mounted', 'through', 'the', 'portmapper', 'despite', 'export', 'restrictions']",46,"['The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.', 'For example, NFS file systems could be mounted through the portmapper despite export restrictions.']",2
CVE-2014-9302,Server-side request forgery (SSRF) vulnerability in the cmisbrowser servlet in Content Management Interoperability Service (CMIS) in Alfresco Community Edition 5.0.a and earlier allows remote attackers to trigger outbound requests via a crafted URI in the url parameter.,5.0,MEDIUM,2014-12-07T21:59:03.727,Unknown,Server-side request forgery (SSRF) vulnerability in the cmisbrowser servlet in Content Management Interoperability Service (CMIS) in Alfresco Community Edition 5.0.a and earlier allows remote attackers to trigger outbound requests via a crafted URI in the url parameter.,{'version': ['5.0.']},"['server-side', 'request', 'forgery', 'ssrf', 'vulnerability', 'in', 'the', 'cmisbrowser', 'servlet', 'in', 'content', 'management', 'interoperability', 'service', 'cmis', 'in', 'alfresco', 'community', 'edition', '5.0.a', 'and', 'earlier', 'allows', 'remote', 'attackers', 'to', 'trigger', 'outbound', 'requests', 'via', 'crafted', 'uri', 'in', 'the', 'url', 'parameter']",36,['Server-side request forgery (SSRF) vulnerability in the cmisbrowser servlet in Content Management Interoperability Service (CMIS) in Alfresco Community Edition 5.0.a and earlier allows remote attackers to trigger outbound requests via a crafted URI in the url parameter.'],1
CVE-2001-0727,"Internet Explorer 6.0 allows remote attackers to execute arbitrary code by modifying the Content-Disposition and Content-Type header fields in a way that causes Internet Explorer to believe that the file is safe to open without prompting the user, aka the ""File Execution Vulnerability.""",7.5,HIGH,2001-12-14T05:00:00.000,Unknown,"Internet Explorer 6.0 allows remote attackers to execute arbitrary code by modifying the Content-Disposition and Content-Type header fields in a way that causes Internet Explorer to believe that the file is safe to open without prompting the user, aka the ""File Execution Vulnerability.""",{'version': ['6.0']},"['internet', 'explorer', '6.0', 'allows', 'remote', 'attackers', 'to', 'execute', 'arbitrary', 'code', 'by', 'modifying', 'the', 'content-disposition', 'and', 'content-type', 'header', 'fields', 'in', 'way', 'that', 'causes', 'internet', 'explorer', 'to', 'believe', 'that', 'the', 'file', 'is', 'safe', 'to', 'open', 'without', 'prompting', 'the', 'user', 'aka', 'the', '``', 'file', 'execution', 'vulnerability', ""''""]",44,"['Internet Explorer 6.0 allows remote attackers to execute arbitrary code by modifying the Content-Disposition and Content-Type header fields in a way that causes Internet Explorer to believe that the file is safe to open without prompting the user, aka the ""File Execution Vulnerability.""']",1
CVE-2011-3579,"server/webmail.php in IceWarp WebMail in IceWarp Mail Server before 10.3.3 allows remote attackers to read arbitrary files, and possibly send HTTP requests to intranet servers or cause a denial of service (CPU and memory consumption), via an XML external entity declaration in conjunction with an entity reference.",6.4,MEDIUM,2011-09-30T17:55:01.180,CWE-399,"server/webmail.php in IceWarp WebMail in IceWarp Mail Server before 10.3.3 allows remote attackers to read arbitrary files, and possibly send HTTP requests to intranet servers or cause a denial of service (CPU and memory consumption), via an XML external entity declaration in conjunction with an entity reference.",{'version': ['10.3.3']},"['server/webmail.php', 'in', 'icewarp', 'webmail', 'in', 'icewarp', 'mail', 'server', 'before', '10.3.3', 'allows', 'remote', 'attackers', 'to', 'read', 'arbitrary', 'files', 'and', 'possibly', 'send', 'http', 'requests', 'to', 'intranet', 'servers', 'or', 'cause', 'denial', 'of', 'service', 'cpu', 'and', 'memory', 'consumption', 'via', 'an', 'xml', 'external', 'entity', 'declaration', 'in', 'conjunction', 'with', 'an', 'entity', 'reference']",46,"['server/webmail.php in IceWarp WebMail in IceWarp Mail Server before 10.3.3 allows remote attackers to read arbitrary files, and possibly send HTTP requests to intranet servers or cause a denial of service (CPU and memory consumption), via an XML external entity declaration in conjunction with an entity reference.']",1
CVE-2019-12240,"The Virim plugin 0.4 for WordPress allows Insecure Deserialization via s_values, t_values, or c_values in graph.php.",7.5,HIGH,2019-05-20T20:29:00.783,CWE-502,"The Virim plugin 0.4 for WordPress allows Insecure Deserialization via s_values, t_values, or c_values in graph.php.",{'version': ['0.4']},"['the', 'virim', 'plugin', '0.4', 'for', 'wordpress', 'allows', 'insecure', 'deserialization', 'via', 's_values', 't_values', 'or', 'c_values', 'in', 'graph.php']",16,"['The Virim plugin 0.4 for WordPress allows Insecure Deserialization via s_values, t_values, or c_values in graph.php.']",1
CVE-2014-8749,Server-side request forgery (SSRF) vulnerability in admin/htaccess/bpsunlock.php in the BulletProof Security plugin before .51.1 for WordPress allows remote attackers to trigger outbound requests that authenticate to arbitrary databases via the dbhost parameter.,5.0,MEDIUM,2014-12-01T15:59:07.877,Unknown,Server-side request forgery (SSRF) vulnerability in admin/htaccess/bpsunlock.php in the BulletProof Security plugin before .51.1 for WordPress allows remote attackers to trigger outbound requests that authenticate to arbitrary databases via the dbhost parameter.,{'version': ['51.1']},"['server-side', 'request', 'forgery', 'ssrf', 'vulnerability', 'in', 'admin/htaccess/bpsunlock.php', 'in', 'the', 'bulletproof', 'security', 'plugin', 'before', '.51.1', 'for', 'wordpress', 'allows', 'remote', 'attackers', 'to', 'trigger', 'outbound', 'requests', 'that', 'authenticate', 'to', 'arbitrary', 'databases', 'via', 'the', 'dbhost', 'parameter']",32,['Server-side request forgery (SSRF) vulnerability in admin/htaccess/bpsunlock.php in the BulletProof Security plugin before .51.1 for WordPress allows remote attackers to trigger outbound requests that authenticate to arbitrary databases via the dbhost parameter.'],1
CVE-2008-0628,"The XML parsing code in Sun Java Runtime Environment JDK and JRE 6 Update 3 and earlier processes external entity references even when the ""external general entities"" property is false, which allows remote attackers to conduct XML external entity (XXE) attacks and cause a denial of service or access restricted resources.",7.8,HIGH,2008-02-06T21:00:00.000,CWE-264,"The XML parsing code in Sun Java Runtime Environment JDK and JRE 6 Update 3 and earlier processes external entity references even when the ""external general entities"" property is false, which allows remote attackers to conduct XML external entity (XXE) attacks and cause a denial of service or access restricted resources.",{},"['the', 'xml', 'parsing', 'code', 'in', 'sun', 'java', 'runtime', 'environment', 'jdk', 'and', 'jre', 'update', 'and', 'earlier', 'processes', 'external', 'entity', 'references', 'even', 'when', 'the', '``', 'external', 'general', 'entities', ""''"", 'property', 'is', 'false', 'which', 'allows', 'remote', 'attackers', 'to', 'conduct', 'xml', 'external', 'entity', 'xxe', 'attacks', 'and', 'cause', 'denial', 'of', 'service', 'or', 'access', 'restricted', 'resources']",50,"['The XML parsing code in Sun Java Runtime Environment JDK and JRE 6 Update 3 and earlier processes external entity references even when the ""external general entities"" property is false, which allows remote attackers to conduct XML external entity (XXE) attacks and cause a denial of service or access restricted resources.']",1
CVE-2019-11030,"Mirasys VMS before V7.6.1 and 8.x before V8.3.2 mishandles the Mirasys.Common.Utils.Security.DataCrypt method in Common.dll in AuditTrailService in SMServer.exe. This method triggers insecure deserialization within the .NET garbage collector, in which a gadget (contained in a serialized object) may be executed with SYSTEM privileges. The attacker must properly encrypt the object; however, the hardcoded keys are available.",10.0,CRITICAL,2019-08-22T15:15:12.233,"CWE-502, CWE-798","Mirasys VMS before V7.6.1 and 8.x before V8.3.2 mishandles the Mirasys.Common.Utils.Security.DataCrypt method in Common.dll in AuditTrailService in SMServer.exe. This method triggers insecure deserialization within the .NET garbage collector, in which a gadget (contained in a serialized object) may be executed with SYSTEM privileges. The attacker must properly encrypt the object; however, the hardcoded keys are available.","{'version': ['V7.6.1', 'V8.3.2']}","['mirasys', 'vms', 'before', 'v7.6.1', 'and', '8.x', 'before', 'v8.3.2', 'mishandles', 'the', 'mirasys.common.utils.security.datacrypt', 'method', 'in', 'common.dll', 'in', 'audittrailservice', 'in', 'smserver.exe', 'this', 'method', 'triggers', 'insecure', 'deserialization', 'within', 'the', '.net', 'garbage', 'collector', 'in', 'which', 'gadget', 'contained', 'in', 'serialized', 'object', 'may', 'be', 'executed', 'with', 'system', 'privileges', 'the', 'attacker', 'must', 'properly', 'encrypt', 'the', 'object', 'however', 'the', 'hardcoded', 'keys', 'are', 'available']",54,"['Mirasys VMS before V7.6.1 and 8.x before V8.3.2 mishandles the Mirasys.Common.Utils.Security.DataCrypt method in Common.dll in AuditTrailService in SMServer.exe.', 'This method triggers insecure deserialization within the .NET garbage collector, in which a gadget (contained in a serialized object) may be executed with SYSTEM privileges.', 'The attacker must properly encrypt the object; however, the hardcoded keys are available.']",3
CVE-2001-1460,SQL injection vulnerability in article.php in PostNuke 0.62 through 0.64 allows remote attackers to bypass authentication via the user parameter.,7.5,HIGH,2001-10-13T04:00:00.000,Unknown,SQL injection vulnerability in article.php in PostNuke 0.62 through 0.64 allows remote attackers to bypass authentication via the user parameter.,"{'version': ['0.62', '0.64']}","['sql', 'injection', 'vulnerability', 'in', 'article.php', 'in', 'postnuke', '0.62', 'through', '0.64', 'allows', 'remote', 'attackers', 'to', 'bypass', 'authentication', 'via', 'the', 'user', 'parameter']",20,['SQL injection vulnerability in article.php in PostNuke 0.62 through 0.64 allows remote attackers to bypass authentication via the user parameter.'],1
CVE-2002-1919,SQL injection vulnerability in shopadmin.asp in VP-ASP 4.0 allows remote attackers to execute arbitrary SQL commands and bypass authentication via the (1) username or (2) password fields.,7.5,HIGH,2002-12-31T05:00:00.000,Unknown,SQL injection vulnerability in shopadmin.asp in VP-ASP 4.0 allows remote attackers to execute arbitrary SQL commands and bypass authentication via the (1) username or (2) password fields.,{'version': ['4.0']},"['sql', 'injection', 'vulnerability', 'in', 'shopadmin.asp', 'in', 'vp-asp', '4.0', 'allows', 'remote', 'attackers', 'to', 'execute', 'arbitrary', 'sql', 'commands', 'and', 'bypass', 'authentication', 'via', 'the', 'username', 'or', 'password', 'fields']",25,['SQL injection vulnerability in shopadmin.asp in VP-ASP 4.0 allows remote attackers to execute arbitrary SQL commands and bypass authentication via the (1) username or (2) password fields.'],1
CVE-2001-0205,"Directory traversal vulnerability in AOLserver 3.2 and earlier allows remote attackers to read arbitrary files by inserting ""..."" into the requested pathname, a modified .. (dot dot) attack.",5.0,MEDIUM,2001-05-03T04:00:00.000,Unknown,"Directory traversal vulnerability in AOLserver 3.2 and earlier allows remote attackers to read arbitrary files by inserting ""..."" into the requested pathname, a modified .. (dot dot) attack.",{'version': ['3.2']},"['directory', 'traversal', 'vulnerability', 'in', 'aolserver', '3.2', 'and', 'earlier', 'allows', 'remote', 'attackers', 'to', 'read', 'arbitrary', 'files', 'by', 'inserting', '``', '...', ""''"", 'into', 'the', 'requested', 'pathname', 'modified', '..', 'dot', 'dot', 'attack']",29,"['Directory traversal vulnerability in AOLserver 3.2 and earlier allows remote attackers to read arbitrary files by inserting ""..."" into the requested pathname, a modified .. (dot dot) attack.']",1
CVE-2009-3960,"Unspecified vulnerability in BlazeDS 3.2 and earlier, as used in LiveCycle 8.0.1, 8.2.1, and 9.0, LiveCycle Data Services 2.5.1, 2.6.1, and 3.0, Flex Data Services 2.0.1, and ColdFusion 7.0.2, 8.0, 8.0.1, and 9.0, allows remote attackers to obtain sensitive information via vectors that are associated with a request, and related to injected tags and external entity references in XML documents.",6.5,MEDIUM,2010-02-15T18:30:00.407,Unknown,"Unspecified vulnerability in BlazeDS 3.2 and earlier, as used in LiveCycle 8.0.1, 8.2.1, and 9.0, LiveCycle Data Services 2.5.1, 2.6.1, and 3.0, Flex Data Services 2.0.1, and ColdFusion 7.0.2, 8.0, 8.0.1, and 9.0, allows remote attackers to obtain sensitive information via vectors that are associated with a request, and related to injected tags and external entity references in XML documents.","{'version': ['3.2', '8.0.1', '8.2.1', '9.0', '2.5.1', '2.6.1', '3.0', '2.0.1', '7.0.2', '8.0']}","['unspecified', 'vulnerability', 'in', 'blazeds', '3.2', 'and', 'earlier', 'as', 'used', 'in', 'livecycle', '8.0.1', '8.2.1', 'and', '9.0', 'livecycle', 'data', 'services', '2.5.1', '2.6.1', 'and', '3.0', 'flex', 'data', 'services', '2.0.1', 'and', 'coldfusion', '7.0.2', '8.0', '8.0.1', 'and', '9.0', 'allows', 'remote', 'attackers', 'to', 'obtain', 'sensitive', 'information', 'via', 'vectors', 'that', 'are', 'associated', 'with', 'request', 'and', 'related', 'to', 'injected', 'tags', 'and', 'external', 'entity', 'references', 'in', 'xml', 'documents']",59,"['Unspecified vulnerability in BlazeDS 3.2 and earlier, as used in LiveCycle 8.0.1, 8.2.1, and 9.0, LiveCycle Data Services 2.5.1, 2.6.1, and 3.0, Flex Data Services 2.0.1, and ColdFusion 7.0.2, 8.0, 8.0.1, and 9.0, allows remote attackers to obtain sensitive information via vectors that are associated with a request, and related to injected tags and external entity references in XML documents.']",1
CVE-2009-1699,"The XSL stylesheet implementation in WebKit in Apple Safari before 4.0, iPhone OS 1.0 through 2.2.1, and iPhone OS for iPod touch 1.1 through 2.2.1 does not properly handle XML external entities, which allows remote attackers to read arbitrary files via a crafted DTD, as demonstrated by a file:///etc/passwd URL in an entity declaration, related to an ""XXE attack.""",7.5,HIGH,2009-06-10T18:00:00.517,CWE-611,"The XSL stylesheet implementation in WebKit in Apple Safari before 4.0, iPhone OS 1.0 through 2.2.1, and iPhone OS for iPod touch 1.1 through 2.2.1 does not properly handle XML external entities, which allows remote attackers to read arbitrary files via a crafted DTD, as demonstrated by a file:///etc/passwd URL in an entity declaration, related to an ""XXE attack.""","{'version': ['4.0', '1.0', '2.2.1', '1.1']}","['the', 'xsl', 'stylesheet', 'implementation', 'in', 'webkit', 'in', 'apple', 'safari', 'before', '4.0', 'iphone', 'os', '1.0', 'through', '2.2.1', 'and', 'iphone', 'os', 'for', 'ipod', 'touch', '1.1', 'through', '2.2.1', 'does', 'not', 'properly', 'handle', 'xml', 'external', 'entities', 'which', 'allows', 'remote', 'attackers', 'to', 'read', 'arbitrary', 'files', 'via', 'crafted', 'dtd', 'as', 'demonstrated', 'by', 'file', '///etc/passwd', 'url', 'in', 'an', 'entity', 'declaration', 'related', 'to', 'an', '``', 'xxe', 'attack', ""''""]",60,"['The XSL stylesheet implementation in WebKit in Apple Safari before 4.0, iPhone OS 1.0 through 2.2.1, and iPhone OS for iPod touch 1.1 through 2.2.1 does not properly handle XML external entities, which allows remote attackers to read arbitrary files via a crafted DTD, as demonstrated by a file:///etc/passwd URL in an entity declaration, related to an ""XXE attack.""']",1
CVE-2001-1283,"The webmail interface for Ipswitch IMail 7.04 and earlier allows remote authenticated users to cause a denial of service (crash) via a mailbox name that contains a large number of . (dot) or other characters to programs such as (1) readmail.cgi or (2) printmail.cgi, possibly due to a buffer overflow that may allow execution of arbitrary code.",7.5,HIGH,2001-10-12T04:00:00.000,Unknown,"The webmail interface for Ipswitch IMail 7.04 and earlier allows remote authenticated users to cause a denial of service (crash) via a mailbox name that contains a large number of . (dot) or other characters to programs such as (1) readmail.cgi or (2) printmail.cgi, possibly due to a buffer overflow that may allow execution of arbitrary code.",{'version': ['7.04']},"['the', 'webmail', 'interface', 'for', 'ipswitch', 'imail', '7.04', 'and', 'earlier', 'allows', 'remote', 'authenticated', 'users', 'to', 'cause', 'denial', 'of', 'service', 'crash', 'via', 'mailbox', 'name', 'that', 'contains', 'large', 'number', 'of', 'dot', 'or', 'other', 'characters', 'to', 'programs', 'such', 'as', 'readmail.cgi', 'or', 'printmail.cgi', 'possibly', 'due', 'to', 'buffer', 'overflow', 'that', 'may', 'allow', 'execution', 'of', 'arbitrary', 'code']",50,"['The webmail interface for Ipswitch IMail 7.04 and earlier allows remote authenticated users to cause a denial of service (crash) via a mailbox name that contains a large number of .', '(dot) or other characters to programs such as (1) readmail.cgi or (2) printmail.cgi, possibly due to a buffer overflow that may allow execution of arbitrary code.']",2
CVE-2001-0206,Directory traversal vulnerability in Soft Lite ServerWorx 3.00 allows remote attackers to read arbitrary files by inserting a .. (dot dot) or ... into the requested pathname of an HTTP GET request.,5.0,MEDIUM,2001-06-02T04:00:00.000,Unknown,Directory traversal vulnerability in Soft Lite ServerWorx 3.00 allows remote attackers to read arbitrary files by inserting a .. (dot dot) or ... into the requested pathname of an HTTP GET request.,{'version': ['3.00']},"['directory', 'traversal', 'vulnerability', 'in', 'soft', 'lite', 'serverworx', '3.00', 'allows', 'remote', 'attackers', 'to', 'read', 'arbitrary', 'files', 'by', 'inserting', '..', 'dot', 'dot', 'or', '...', 'into', 'the', 'requested', 'pathname', 'of', 'an', 'http', 'get', 'request']",31,['Directory traversal vulnerability in Soft Lite ServerWorx 3.00 allows remote attackers to read arbitrary files by inserting a .. (dot dot) or ... into the requested pathname of an HTTP GET request.'],1
